Year	PRODUCTNDID	Category_1
2010	RNFD00133	Meats
2005	RNFD00139	Meats
2006	RNFD00139	Meats
2007	RNFD00139	Meats
2009	RNFD00139	Meats
2010	RNFD00139	Meats
2011	RNFD00139	Meats
2012	RNFD00139	Meats
2013	RNFD00139	Meats
2015	ND00032	Baby_Foods
2015	ND00034	Baby_Foods
1997	ND00368	Dairy_and_Egg
2000	ND00368	Dairy_and_Egg
2001	ND00368	Dairy_and_Egg
2014	ND00368	Dairy_and_Egg
2010	ND00368	Dairy_and_Egg
2011	ND00368	Dairy_and_Egg
2012	ND00368	Dairy_and_Egg
2013	ND00368	Dairy_and_Egg
2009	ND00368	Dairy_and_Egg
2004	ND00368	Dairy_and_Egg
2005	ND00368	Dairy_and_Egg
2006	ND00368	Dairy_and_Egg
2007	ND00368	Dairy_and_Egg
2002	ND00368	Dairy_and_Egg
2003	ND00368	Dairy_and_Egg
2012	ND01524	Sweets
2013	ND01524	Sweets
2012	ND01511	Sweets
2011	ND01511	Sweets
2013	ND01511	Sweets
2014	ND01511	Sweets
2011	RNFD00151	Sweets
2011	ND01524	Sweets
2011	ND01523	Sweets
2012	ND01523	Sweets
2013	ND01523	Sweets
2014	ND01523	Sweets
2015	ND00071	Baby_Foods
2014	ND01524	Sweets
2015	ND00043	Baby_Foods
2002	RNFD00152	Vegetables
2003	RNFD00152	Vegetables
2015	RNFD02778	Supplement
2015	ND00050	Baby_Foods
2015	ND00084	Baby_Foods
2013	RNFD00155	Baby_Foods
1997	RNFD00156	Grains
2000	RNFD00156	Grains
2001	RNFD00156	Grains
2005	ND01175	Meats
2006	ND01175	Meats
2007	ND01175	Meats
2009	ND01175	Meats
2010	ND01175	Meats
2011	ND01175	Meats
2012	ND01175	Meats
2013	ND01175	Meats
2014	ND01175	Meats
1997	ND01522	Sweets
2000	ND01522	Sweets
2001	ND01522	Sweets
2014	ND01522	Sweets
2002	ND01522	Sweets
2003	ND01522	Sweets
2004	ND01522	Sweets
2005	ND01522	Sweets
2006	ND01522	Sweets
2007	ND01522	Sweets
2009	ND01522	Sweets
2010	ND01522	Sweets
2011	ND01522	Sweets
2012	ND01522	Sweets
2013	ND01522	Sweets
1997	ND01116	Meats
2000	ND01116	Meats
2001	ND01116	Meats
2002	ND01116	Meats
2003	ND01116	Meats
2004	ND01116	Meats
2005	ND01116	Meats
2006	ND01116	Meats
2007	ND01116	Meats
2009	ND01116	Meats
2010	ND01116	Meats
2011	ND01116	Meats
2012	ND01116	Meats
2013	ND01116	Meats
2014	ND01116	Meats
2015	ND00073	Baby_Foods
2015	ND00080	Baby_Foods
2011	ND01866	Supplement
2012	ND01866	Supplement
2013	ND01866	Supplement
2014	ND01866	Supplement
2015	ND00053	Baby_Foods
2015	ND00055	Baby_Foods
2015	ND00056	Baby_Foods
2015	ND00066	Baby_Foods
2009	RNFD00174	Baby_Foods
2010	RNFD00174	Baby_Foods
2009	ND00071	Baby_Foods
2001	ND00101	Baby_Foods
2002	ND00101	Baby_Foods
2003	ND00101	Baby_Foods
2004	ND00101	Baby_Foods
2005	ND00101	Baby_Foods
2006	ND00101	Baby_Foods
2007	ND00101	Baby_Foods
2009	ND00101	Baby_Foods
2010	ND00101	Baby_Foods
2004	RNFD00185	Baby_Foods
2005	RNFD00185	Baby_Foods
2006	RNFD00185	Baby_Foods
2007	RNFD00185	Baby_Foods
2009	RNFD00186	Baby_Foods
2009	ND00157	Baby_Foods
2009	RNFD00188	Baby_Foods
2009	ND00103	Baby_Foods
2010	ND00103	Baby_Foods
2004	ND00111	Baby_Foods
2005	ND00111	Baby_Foods
2006	ND00111	Baby_Foods
2007	ND00111	Baby_Foods
2009	ND00111	Baby_Foods
2010	ND00111	Baby_Foods
2009	RNFD00192	Baby_Foods
2009	ND00084	Baby_Foods
2014	ND00103	Baby_Foods
2015	ND00067	Baby_Foods
2014	ND00102	Baby_Foods
2014	ND00165	Baby_Foods
2014	ND00188	Baby_Foods
2014	ND00071	Baby_Foods
2014	ND00043	Baby_Foods
2014	ND00050	Baby_Foods
2014	ND00176	Baby_Foods
2014	ND00166	Baby_Foods
2014	ND00167	Baby_Foods
2015	ND00074	Baby_Foods
2015	ND00069	Baby_Foods
2015	ND00091	Baby_Foods
2015	ND00086	Baby_Foods
2015	ND00077	Baby_Foods
2015	ND00079	Baby_Foods
2015	ND00058	Baby_Foods
2014	ND00148	Baby_Foods
2014	ND00151	Baby_Foods
2009	ND00176	Baby_Foods
2015	ND00103	Baby_Foods
2009	RNFD00257	Baby_Foods
2004	RNFD00214	Baby_Foods
2005	RNFD00214	Baby_Foods
2006	RNFD00214	Baby_Foods
2007	RNFD00214	Baby_Foods
2009	RNFD00214	Baby_Foods
2009	ND00085	Baby_Foods
2009	ND00073	Baby_Foods
2009	ND00043	Baby_Foods
2009	ND00151	Baby_Foods
2015	ND00102	Baby_Foods
2004	RNFD00219	Baby_Foods
2005	RNFD00219	Baby_Foods
2006	RNFD00219	Baby_Foods
2007	RNFD00219	Baby_Foods
2009	RNFD00220	Baby_Foods
2009	RNFD00221	Baby_Foods
2014	ND00101	Baby_Foods
2012	ND00101	Baby_Foods
